"Ticker","Nome","Negócios","Última (R$)","Variação"
"CSED3","Cruzeiro do Sul Educacional","272.000","3,63","-0,82%"
"TASA4","Taurus","261.200","5,04","+1,41%"
"MELK3","Melnick","246.500","3,14","-0,63%"
"TCSA3","Tecnisa","239.700","0,86","-9,47%"
"BMOB3","Bemobi","220.700","23,20","+0,22%"
"LAVV3","Lavvi Incorporadora","218.900","10,95","+0,46%"
"BRBI11","BR Partners","206.800","14,60","+0,69%"
"IFCM3","Infracommerce","197.800","0,58","-3,33%"
"TOKY3","Toky","178.400","0,28","+0,00%"
"BRST3","Brisanet","171.600","2,66","+0,00%"
"CYRE4","Cyrela","170.600","19,85","-0,70%"
"DESK3","Desktop","170.300","17,50","+1,39%"
"RCSL3","Recrusul","158.100","0,37","-5,13%"
"VLID3","Valid","152.800","17,33","+0,99%"
"BLAU3","Blau Farmacêutica","152.000","9,95","+2,26%"
"PFRM3","Profarma","146.900","6,16","-2,38%"
"SEQL3","Sequoia Logística","141.200","0,07","-12,50%"
"EQPA3","Equatorial Energia Pará","136.500","6,45","+11,59%"
"ALPK3","Estapar","136.500","4,41","+0,00%"
"AGRO3","BrasilAgro","135.500","18,00","-1,15%"
"TAEE4","Taesa","133.600","13,41","-1,40%"
"OBTC3","OrangeBTC","130.900","6,17","+2,32%"
"LEVE3","Mahle Metal Leve","123.900","32,70","-1,09%"
"TGMA3","Tegma","123.000","30,35","+1,57%"
"HBRE3","HBR Realty","122.600","2,54","+0,79%"
"NGRD3","Neogrid","121.200","34,15","+0,00%"
"UNIP6","Unipar","120.500","60,00","+0,00%"
"AMAR3","Lojas Marisa","119.400","0,63","+1,61%"
"SAPR3","Sanepar","116.500","8,85","+0,68%"
"LAND3","Terra Santa","107.700","9,24","+14,07%"
"TRIS3","Trisul","103.000","4,00","-0,74%"
"SANB4","Banco Santander","101.200","13,91","-0,86%"
"ITSA3","Itaúsa","97.000","13,10","+0,38%"
"TAEE3","Taesa","93.800","13,26","+0,30%"
"VITT3","Vittia","87.200","3,25","+0,31%"
"EUCA4","Eucatex","82.600","23,49","-0,97%"
"BRKM3","Braskem","80.900","6,53","+1,56%"
"GOAU3","Metalúrgica Gerdau","79.200","8,81","-1,23%"
"BIOM3","Biomm","78.800","6,20","-3,12%"
"DOTZ3","Dotz","76.300","4,99","-1,96%"
"ESPA3","Espaçolaser","71.500","6,25","+4,52%"
"AZUL3","Azul","67.600","22,32","-2,11%"
"LPSB3","Lopes","65.100","1,48","-3,90%"
"CSUD3","CSU Cardsystem","62.900","15,60","+3,31%"
"RNEW3","Renova Energia","62.800","0,92","-3,16%"
"RENT4","Localiza","62.100","40,40","+2,69%"
"SANB3","Banco Santander","61.600","12,86","-0,54%"
"CMIG3","Cemig","60.100","15,80","+1,87%"
"DEXP3","Dexxos","54.400","6,95","-0,71%"
"AERI3","Aeris Energy","54.200","2,13","-1,39%"
"ETER3","Eternit","51.800","3,64","-0,82%"
"DMVF3","D1000 Varejo Farma","46.100","6,82","-1,16%"
"LUPA3","Lupatech","45.500","0,76","+4,11%"
"VSTE3","LE LIS BLANC","43.500","3,80","-7,54%"
"TPIS3","Triunfo","41.000","10,68","-1,57%"
"WEST3","Westwing","40.800","9,27","+0,22%"
"TECN3","Technos","40.700","8,61","+0,58%"
"BMEB4","Banco Mercantil do Brasil","35.800","66,72","-2,16%"
"BRAP3","Bradespar","34.100","19,01","-1,50%"
"AZEV11","Azevedo & Travassos","31.200","0,06","+20,00%"
"HAGA4","Haga","30.100","1,59","+2,58%"
"BMEB3","Banco Mercantil do Brasil","27.500","49,70","-2,93%"
"HAGA3","Haga","25.800","2,53","-10,28%"
"WDCN3","WDC Networks","20.300","2,47","+1,65%"
"AALR3","Alliança","20.000","2,89","-4,62%"
"IGTI3","Jereissati Participações","19.600","3,32","-1,48%"
"IGTI3","Iguatemi","19.600","3,32","-1,48%"
"RNEW4","Renova Energia","19.500","0,91","+2,25%"
"VIVR3","Viver","19.100","1,77","-1,67%"
"BSLI3","Banco de Brasília","17.600","3,08","-2,22%"
"MEAL3","IMC Alimentação","16.800","0,96","-1,03%"
"SHOW3","Time For Fun","16.100","5,84","+0,00%"
"BSLI4","Banco de Brasília","15.600","3,25","-2,40%"
"SCAR3","São Carlos","15.200","11,89","-0,08%"
"GGBR3","Gerdau","15.100","18,47","-3,30%"
"INEP3","Inepar","14.500","1,93","-2,53%"
"OFSA3","Ourofino Saúde Animal","14.300","27,30","-1,09%"
"AGXY3","AgroGalaxy","14.300","1,84","+1,66%"
"ALUP4","Alupar","13.900","10,38","+1,67%"
"FICT3","Fictor Alimentos","13.000","0,24","-4,00%"
"PINE3","Banco Pine","12.300","12,10","-3,20%"
"AMOB3","Automob","12.000","12,16","-0,25%"
"ISAE3","ISA Energia","11.700","33,76","+4,49%"
"UCAS3","Unicasa","11.400","1,19","+0,00%"
"TRAD3","Traders Club","10.800","1,21","-0,82%"
"CLSC4","Celesc","10.700","135,51","-0,09%"
"MNPR3","Minupar","10.500","3,94","-0,25%"
"ALUP3","Alupar","10.200","11,28","+0,36%"
"BPAC5","Banco BTG Pactual","9.800","18,00","-0,28%"
"RAPT3","Randon","9.600","4,47","-1,97%"
"NUTR3","Nutriplant","9.000","2,30","-2,13%"
"BPAC3","Banco BTG Pactual","8.700","22,57","+0,80%"
"TASA3","Taurus","8.600","5,35","+2,10%"
"BEES3","Banestes","7.300","8,60","+0,47%"
"RPMG3","Refinaria de Manguinhos","6.300","1,29","-0,77%"
"RSUL4","Metalúrgica Riosulense","6.100","56,93","-1,37%"
"HOOT4","Hotéis Othon","6.000","7,17","-0,42%"
"UNIP3","Unipar","5.100","58,50","-1,12%"
"CAMB3","Cambuci","4.900","9,46","+1,18%"
"DOHL4","Döhler","4.700","3,78","+0,00%"
"COCE5","Coelce","4.400","31,23","+0,22%"
"PDGR3","PDG Realty","4.400","1,41","+1,44%"
"LOGN3","Log-In","4.200","26,75","+0,00%"
"TELB4","Telebras","4.100","7,50","-1,45%"
"WLMM4","WLM","3.600","19,38","-0,10%"
"CEBR3","CEB","3.300","26,10","-1,55%"
"CGRA4","Grazziotin","3.300","24,21","-0,41%"
"BEES4","Banestes","3.300","8,62","+0,58%"
"RPAD6","Alfa Holdings","3.300","6,50","+0,00%"
"GSHP3","General Shopping & Outlets","3.100","3,88","+40,07%"
"EALT4","Electro Aço Altona","3.000","12,16","-0,73%"
"OSXB3","OSX Brasil","3.000","1,04","-2,80%"
"PSVM11","PORTO VM","2.800","7,00","+0,00%"
"ENGI4","Energisa","2.700","8,74","+2,46%"
"EQMA3B","Equatorial Maranhão","2.500","31,00","+1,71%"
"CGRA3","Grazziotin","2.500","24,41","-2,36%"
"BRSR3","Banrisul","2.500","17,96","+3,46%"
"ENMT3","Energisa MT","2.400","36,21","-3,72%"
"BIED3","Bioma","2.300","7,51","-6,12%"
"WHRL4","Whirlpool","2.300","4,03","+1,00%"
"PDTC3","Padtec","2.300","1,44","+0,00%"
"CTAX3","Contax","2.300","0,49","+6,52%"
"BAZA3","Banco da Amazônia","2.200","59,72","-0,83%"
"NORD3","Nordon","2.200","2,27","+7,08%"
"EPAR3","Embpar Participações","2.100","1,67","-1,18%"
"EMAE4","EMAE","2.000","38,00","+0,03%"
"CEBR5","CEB","1.700","23,69","-0,25%"
"ENGI3","Energisa","1.600","11,79","+1,99%"
"SNSY5","Sansuy","1.600","1,49","+2,76%"
"CEBR6","CEB","1.500","27,43","-0,33%"
"MGEL4","Mangels","1.500","5,28","+1,34%"
"ENMT4","Energisa MT","1.400","36,06","-3,56%"
